School_ID,School_Name,Status as of 2019,Graduates_2018,Enrollments_2018,Enrollment_Pct_2018,Graduates_2017,Enrollments_2017,Enrollment_Pct_2017,Num_Enrollments_Persisting_2017,Persistence_Pct_2017,Graduates_2016,Enrollments_2016,Enrollment_Pct_2016,Num_Enrollments Persisting_2016,Persistence_Pct_2016,Graduates_2015,Enrollments_2015,Enrollment_Pct_2015,Num_Enrollments_Persisting_2015,Persistence_Pct_2015,Graduates_2014,Enrollments_2014,Enrollment_Pct_2014,Num_Enrollments_Persisting_2014,Persistence_Pct_2014,Graduates_2013,Enrollments_2013,Enrollment_Pct_2013,Num_Enrollments Persisting_2013,Persistence_Pct_2013,Graduates_2012,Enrollments_2012,Enrollment_Pct_2012,Num_Enrollments_Persisting_2012,Persistence_Pct_2012,Graduates_2011,Enrollments_2011,Enrollment_Pct_2011,Num_Enrollments_Persisting_2011,Persistence_Pct_2011,Graduates_2010,Enrollments_2010,Enrollment_Pct_2010,Num_Enrollments_Persisting_2010,Persistence_Pct_2010
609739,WASHINGTON HS,,279,173,62.0,304,212,69.7,152,71.7,337,191,56.7,143,74.9,297,163,54.9,110,67.5,335,199,59.4,154,77.4,322,145,45.0,100,69.0,286,120,42.0,85,70.8,246,87,35.4,66,75.9,304,149,49.0,97,65.1
609740,WELLS HS,,90,52,57.8,116,59,50.9,30,50.8,117,51,43.6,31,60.8,102,52,51.0,23,44.2,135,58,43.0,26,44.8,121,52,43.0,24,46.2,134,58,43.3,29,50.0,115,41,35.7,25,61.0,154,64,41.6,43,67.2
609741,HUBBARD HS,,409,280,68.5,345,243,70.4,158,65.0,343,197,57.4,140,71.1,390,219,56.2,168,76.7,346,207,59.8,154,74.4,310,180,58.1,147,81.7,298,159,53.4,114,71.7,279,163,58.4,121,74.2,311,154,49.5,119,77.3
609744,NORTHSIDE LEARNING HS,,37,0,0.0,48,1,2.1,*,*,40,0,0.0,*,*,40,0,0.0,*,*,29,0,0.0,*,*,46,0,0.0,*,*,40,1,2.5,*,*,36,1,2.8,*,*,30,0,0.0,*,*
609745,SOUTHSIDE HS,,48,0,0.0,29,0,0,*,*,29,0,0.0,*,*,48,1,2.1,*,*,31,0,0.0,*,*,23,0,0.0,*,*,26,0,0.0,*,*,34,0,0.0,*,*,44,1,2.3,*,*
609746,KENWOOD HS,,342,267,78.1,360,299,83.1,213,71.2,332,256,77.1,215,84.0,327,256,78.3,206,80.5,318,232,73.0,179,77.2,353,257,72.8,204,79.4,365,275,75.3,211,76.7,288,236,81.9,183,77.5,330,252,76.4,201,79.8
609748,YORK HS,,25,1,4.0,32,1,3.1,*,*,49,3,6.1,*,*,39,2,5.1,*,*,22,3,13.6,*,*,29,5,17.2,*,*,41,0,0.0,*,*,44,2,4.5,*,*,45,4,8.9,*,*
609749,NORTHSIDE PREP HS,,237,222,93.7,248,238,96,226,95.0,251,231,92.0,206,89.2,259,242,93.4,229,94.6,257,228,88.7,222,97.4,257,231,89.9,221,95.7,247,219,88.7,199,90.9,296,260,87.8,255,98.1,244,217,88.9,207,95.4
609750,SIMPSON HS,,10,4,40.0,20,11,55,1,9.1,12,4,33.3,*,*,9,*,*,*,*,15,10,66.7,4,44.4,15,4,26.7,*,*,21,11,52.4,3,27.3,12,5,41.7,*,*,,,,,
609751,KING HS,,161,139,86.3,130,111,85.4,90,81.1,187,156,83.4,130,83.3,179,147,82.1,118,80.3,195,168,86.2,146,86.9,205,169,82.4,145,85.8,197,152,77.2,127,83.6,208,167,80.3,147,88.0,179,146,81.6,120,82.2
609753,CHICAGO AGRICULTURE HS,,144,117,81.3,152,128,84.2,114,89.1,133,102,76.7,84,82.4,109,87,79.8,76,87.4,115,91,79.1,73,80.2,117,92,78.6,75,81.5,108,82,75.9,73,89.0,119,90,75.6,68,75.6,106,85,80.2,72,84.7
609754,CHICAGO MILITARY HS,,74,52,70.3,56,33,58.9,17,51.5,103,51,49.5,34,66.7,58,26,44.8,21,80.8,108,71,65.7,46,64.8,108,59,54.6,37,62.7,87,51,58.6,34,66.7,78,46,59.0,36,78.3,101,71,70.3,60,84.5
609755,YOUNG HS,,440,389,88.4,463,414,89.4,390,94.2,504,424,84.1,399,94.1,479,408,85.2,384,94.1,418,363,86.8,338,93.4,454,404,89.0,384,95.0,470,407,86.6,381,93.6,499,430,86.2,395,91.9,474,413,87.1,384,93.0
